name,value
mTurkID, p163
subID,204
drive_name,1410
drive_index,2
time_date,Fri Feb 10 2023 21:27:47 GMT-0500 (Eastern Standard Time)
Page_15_SurveyPage_Question1_radio,Blue
Page_15_SurveyPage_Question2_text,E-Scooter
Page_15_SurveyPage_Question3_radio,18-25
Page_15_SurveyPage_Question4_radio,Male
Page_15_SurveyPage_Question5_radio,Other
Page_15_SurveyPage_Question5_text,Sales
Page_15_SurveyPage_Question6_radio,High_school_degree_or_equivalent
Page_15_SurveyPage_Question7_radio,2
Page_15_SurveyPage_Question8_radio,2
Page_15_SurveyPage_Question9_radio,2
Page_15_SurveyPage_Question10_radio,2
Page_15_SurveyPage_Question11_checkbox,3
Page_15_SurveyPage_Question12_radio,6
Page_15_SurveyPage_Question13_checkbox,Electric_bike
Page_15_SurveyPage_Question14_radio,7
Page_15_SurveyPage_Question15_textarea,I would've liked for the e-bike to be on the right; like usual people follow when walking. Unless this was done for some other reason.
Page_15_SurveyPage_Question16_radio,Yes
