sys_timestamp,event_timestamp,event_name,pause_num
1676507254274,146432.19999999925,web_survey/InitialPositiveRelation_completed,-1
1676507266468,158626,tutorial_preload_completed,0
1676507266469,158626,tutorial_welcome_start,0
1676507266469,158626,tutorial_welcome_start,0
1676507266477,158627.69999999925,tutorial_welcome_start,1
1676507272989,165147.5,tutorial_welcome_end,1
1676507281213,173371.30000000075,tutorial_speed_start,2
1676507288482,180639.6000000015,tutorial_speed_done,2
1676507298045,190203.1000000015,tutorial_sideuser,3
1676507314970,207127.6000000015,tutorial_sideuser_done,3
1676507317364,209521.5,tutorial_interaction_intention,4
1676507334689,226847.19999999925,tutorial_interaction_intention_done,4
1676507348244,240402.19999999925,tutorial_survey_start,5
1676507363560,255718.1000000015,tutorial_survey_done,5
1676507369673,261831.1000000015,spacebar_start,6
1676507379315,271472.30000000075,spacebar_done,6
1676507386493,278650.69999999925,tutorial_end_start,7
